2019/12/10 19:10:26 [error] 6#6: *1 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Declaration of Symfony\Component\Translation\TranslatorInterface::setLocale($locale) must be compatible with Symfony\Contracts\Translation\LocaleAwareInterface::setLocale(string $locale) in /var/www/vendor/symfony/translation/TranslatorInterface.php on line 24" while reading response header from upstream, client: 172.24.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.24.0.4:9000", host: "flowers:3009"
2019/12/10 19:21:00 [error] 7#7: *2 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Declaration of Symfony\Component\Translation\TranslatorInterface::setLocale($locale) must be compatible with Symfony\Contracts\Translation\LocaleAwareInterface::setLocale(string $locale) in /var/www/vendor/symfony/translation/TranslatorInterface.php on line 24" while reading response header from upstream, client: 172.25.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.25.0.5:9000", host: "flowers:3009"
2020/01/01 14:07:18 [error] 6#6: *1 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Declaration of Symfony\Component\Translation\TranslatorInterface::setLocale($locale) must be compatible with Symfony\Contracts\Translation\LocaleAwareInterface::setLocale(string $locale) in /var/www/vendor/symfony/translation/TranslatorInterface.php on line 24" while reading response header from upstream, client: 172.19.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "flowers:3009"
2020/01/01 14:11:09 [error] 6#6: *4 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Declaration of Symfony\Component\Translation\TranslatorInterface::setLocale($locale) must be compatible with Symfony\Contracts\Translation\LocaleAwareInterface::setLocale(string $locale) in /var/www/vendor/symfony/translation/TranslatorInterface.php on line 24" while reading response header from upstream, client: 172.19.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "flowers:3009"
2020/01/01 14:11:10 [error] 6#6: *4 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Declaration of Symfony\Component\Translation\TranslatorInterface::setLocale($locale) must be compatible with Symfony\Contracts\Translation\LocaleAwareInterface::setLocale(string $locale) in /var/www/vendor/symfony/translation/TranslatorInterface.php on line 24" while reading response header from upstream, client: 172.19.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "flowers:3009"
2020/01/01 14:11:11 [error] 6#6: *4 FastCGI sent in stderr: "PHP message: PHP Fatal error:  Declaration of Symfony\Component\Translation\TranslatorInterface::setLocale($locale) must be compatible with Symfony\Contracts\Translation\LocaleAwareInterface::setLocale(string $locale) in /var/www/vendor/symfony/translation/TranslatorInterface.php on line 24" while reading response header from upstream, client: 172.19.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "flowers:3009"
2020/01/01 14:22:27 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.4:9000", host: "flowers:3009"
2020/01/01 14:22:34 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.4:9000", host: "flowers:3009"
2020/01/01 14:22:35 [error] 6#6: *2 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.20.0.4:9000", host: "flowers:3009"
2020/01/01 14:23:55 [error] 7#7: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: flowers, request: "GET /public HTTP/1.1", upstream: "fastcgi://172.20.0.4:9000", host: "flowers:3009"
2020/01/01 14:24:00 [error] 7#7: *7 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.20.0.1, server: flowers, request: "GET /public/index.php HTTP/1.1", upstream: "fastcgi://172.20.0.4:9000", host: "flowers:3009"
2020/01/07 21:20:49 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.22.0.1, server: flowers, request: "GET / HTTP/1.1", upstream: "fastcgi://172.22.0.4:9000", host: "localhost:3009"
